filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,Location,prop name help,Physical loc,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
rccd170403.0160.fits,GRS1716,17:19:36.92,-25:01:03.5,2017-04-04,08:34:12.770,2457847.85709,90.0,1.02,I,H,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GRS 1716−249,True,3.0,2457847.85709,2017-04-04 08:34:12.576,1
rccd170403.0161.fits,GRS1716,17:19:36.89,-25:01:04.2,2017-04-04,08:36:30.622,2457847.85869,90.0,1.01,I,H,1080,1550,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GRS 1716−249,True,3.0,2457847.85869,2017-04-04 08:36:30.816,1
rccd170403.0162.fits,GRS1716,17:19:36.85,-25:01:04.2,2017-04-04,08:38:48.358,2457847.86028,90.0,1.01,I,H,1000,1630,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GRS 1716−249,True,3.0,2457847.86028,2017-04-04 08:38:48.192,1
rccd170403.0163.fits,GRS1716,17:19:36.85,-25:01:04.5,2017-04-04,08:41:13.845,2457847.86197,90.1,1.01,V,J,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GRS 1716−249,True,1.0,2457847.86197,2017-04-04 08:41:14.208,1
rccd170403.0164.fits,GRS1716,17:19:36.82,-25:01:04.6,2017-04-04,08:43:31.678,2457847.86356,90.0,1.01,V,J,1080,1550,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GRS 1716−249,True,1.0,2457847.86356,2017-04-04 08:43:31.584,1
rccd170403.0165.fits,GRS1716,17:19:36.81,-25:01:04.6,2017-04-04,08:45:49.511,2457847.86516,90.0,1.01,V,J,1000,1630,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GRS 1716−249,True,1.0,2457847.86516,2017-04-04 08:45:49.824,1
rccd170406.0116.fits,GRS1716,17:19:36.93,-25:01:03.3,2017-04-07,08:08:11.547,2457850.83903,90.0,1.03,I,H,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GRS 1716−249,True,3.0,2457850.83903,2017-04-07 08:08:12.192,1
rccd170406.0117.fits,GRS1716,17:19:37.04,-25:01:04.2,2017-04-07,08:10:29.367,2457850.84062,90.0,1.02,I,H,1080,1550,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GRS 1716−249,True,3.0,2457850.84062,2017-04-07 08:10:29.568,1
rccd170406.0118.fits,GRS1716,17:19:37.12,-25:01:05.4,2017-04-07,08:12:47.307,2457850.84222,90.0,1.02,I,H,1000,1630,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GRS 1716−249,True,3.0,2457850.84222,2017-04-07 08:12:47.808,1
rccd170406.0119.fits,GRS1716,17:19:37.16,-25:01:06.1,2017-04-07,08:15:12.759,2457850.8439,90.0,1.02,V,J,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GRS 1716−249,True,1.0,2457850.8439,2017-04-07 08:15:12.960,1
rccd170406.0120.fits,GRS1716,17:19:37.21,-25:01:07.0,2017-04-07,08:17:30.609,2457850.8455,90.0,1.02,V,J,1080,1550,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GRS 1716−249,True,1.0,2457850.8455,2017-04-07 08:17:31.200,1
rccd170406.0121.fits,GRS1716,17:19:37.23,-25:01:07.6,2017-04-07,08:19:48.337,2457850.84709,90.0,1.02,V,J,1000,1630,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GRS 1716−249,True,1.0,2457850.84709,2017-04-07 08:19:48.576,1
rccd170408.0104.fits,GRS1716,17:19:36.92,-25:01:03.4,2017-04-09,08:17:22.474,2457852.8454,90.0,1.01,I,H,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GRS 1716−249,True,3.0,2457852.8454,2017-04-09 08:17:22.560,1
rccd170408.0105.fits,GRS1716,17:19:36.93,-25:01:03.4,2017-04-09,08:19:40.288,2457852.84699,90.0,1.01,I,H,1080,1550,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GRS 1716−249,True,3.0,2457852.84699,2017-04-09 08:19:39.936,1
rccd170408.0106.fits,GRS1716,17:19:36.95,-25:01:04.0,2017-04-09,08:21:58.126,2457852.84859,90.0,1.01,I,H,1000,1630,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GRS 1716−249,True,3.0,2457852.84859,2017-04-09 08:21:58.176,1
rccd170408.0107.fits,GRS1716,17:19:36.94,-25:01:04.1,2017-04-09,08:24:23.538,2457852.85027,90.0,1.01,V,J,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GRS 1716−249,True,1.0,2457852.85027,2017-04-09 08:24:23.328,1
rccd170408.0108.fits,GRS1716,17:19:36.91,-25:01:04.2,2017-04-09,08:26:41.475,2457852.85187,90.0,1.01,V,J,1080,1550,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GRS 1716−249,True,1.0,2457852.85187,2017-04-09 08:26:41.568,1
rccd170408.0109.fits,GRS1716,17:19:36.92,-25:01:04.0,2017-04-09,08:28:59.208,2457852.85346,90.0,1.01,V,J,1000,1630,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GRS 1716−249,True,1.0,2457852.85346,2017-04-09 08:28:58.944,1
rccd170410.0127.fits,GRS1716,17:19:37.16,-25:01:12.3,2017-04-11,09:07:40.301,2457854.88033,90.0,1.01,I,H,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GRS 1716−249,True,3.0,2457854.88033,2017-04-11 09:07:40.512,1
rccd170410.0128.fits,GRS1716,17:19:37.14,-25:01:12.6,2017-04-11,09:09:58.240,2457854.88193,90.0,1.01,I,H,1080,1550,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GRS 1716−249,True,3.0,2457854.88193,2017-04-11 09:09:58.752,1
rccd170410.0129.fits,GRS1716,17:19:37.16,-25:01:12.4,2017-04-11,09:12:15.966,2457854.88352,90.0,1.01,I,H,1000,1630,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GRS 1716−249,True,3.0,2457854.88352,2017-04-11 09:12:16.128,1
